id,latitude,longitude,image,confidence
2290,42.3507491662,-5.7366355410,2290.png,0.75393
2320,42.3507498770,-5.7366329983,2320.png,0.74254
2368,42.3507447322,-5.7366327120,2368.png,0.65098
2382,42.3507333530,-5.7366320095,2382.png,0.73762
2386,42.3507445634,-5.7366324948,2386.png,0.65564
2401,42.3507445082,-5.7366312106,2401.png,0.60367
2410,42.3507389962,-5.7366289655,2410.png,0.65222
2431,42.3507281423,-5.7366280266,2431.png,0.71959
2459,42.3507388333,-5.7366308553,2459.png,0.61048
2457,42.3507268263,-5.7366231897,2457.png,0.67967
2471,42.3507335507,-5.7366257642,2471.png,0.71825
2525,42.3507225980,-5.7366274461,2525.png,0.62260
2592,42.3507138492,-5.7366276765,2592.png,0.61459
2607,42.3507224012,-5.7366296352,2607.png,0.72180
2622,42.3507209022,-5.7366287765,2622.png,0.62499
2625,42.3507160422,-5.7366258783,2625.png,0.65066
2620,42.3507168906,-5.7366288353,2620.png,0.66655
2672,42.3507117993,-5.7366267820,2672.png,0.64112
2677,42.3507014971,-5.7366203455,2677.png,0.69617
2704,42.3507073706,-5.7366253492,2704.png,0.71426
2731,42.3506956329,-5.7366214712,2731.png,0.82992
2742,42.3507015826,-5.7366274459,2742.png,0.61624
2751,42.3506978089,-5.7365941666,2751.png,0.61096
2760,42.3507066319,-5.7366212632,2760.png,0.76786
2780,42.3506994843,-5.7366229013,2780.png,0.78653
2764,42.3506988878,-5.7366213056,2764.png,0.61832
2791,42.3506881765,-5.7366190278,2791.png,0.69365
2789,42.3506864400,-5.7366145616,2789.png,0.69161
2817,42.3506888427,-5.7366199054,2817.png,0.72979
2820,42.3506950732,-5.7366197011,2820.png,0.77947
2821,42.3506827141,-5.7366172208,2821.png,0.63714
2828,42.3506957199,-5.7366205049,2828.png,0.69763
2834,42.3506902187,-5.7366203707,2834.png,0.87138
2853,42.3506889462,-5.7366189566,2853.png,0.64032
2871,42.3506829403,-5.7366193483,2871.png,0.73461
2916,42.3506734222,-5.7366177760,2916.png,0.73380
2944,42.3506735787,-5.7366151902,2944.png,0.74689
2972,42.3506791831,-5.7366132076,2972.png,0.69171
3016,42.3506745971,-5.7366129609,3016.png,0.70480
3083,42.3506694581,-5.7366120378,3083.png,0.60158
3098,42.3506638802,-5.7366118151,3098.png,0.66172
3106,42.3506645608,-5.7366056498,3106.png,0.66631
3084,42.3506644709,-5.7366076342,3084.png,0.66255
3122,42.3506662806,-5.7366076815,3122.png,0.63634
3171,42.3506584106,-5.7366032328,3171.png,0.61085
3190,42.3506530612,-5.7366062752,3190.png,0.61655
3205,42.3506473968,-5.7366052924,3205.png,0.65959
3233,42.3506366809,-5.7366014570,3233.png,0.74052
3243,42.3506472177,-5.7366040136,3243.png,0.64703
3232,42.3506357670,-5.7366045413,3232.png,0.63615
3234,42.3506424260,-5.7365995231,3234.png,0.71681
3235,42.3506450080,-5.7366017628,3235.png,0.73248
3257,42.3506420683,-5.7366033044,3257.png,0.61530
3275,42.3506425596,-5.7366024581,3275.png,0.64642
3270,42.3506372294,-5.7366048019,3270.png,0.76511
3304,42.3506375346,-5.7365991263,3304.png,0.62014
3305,42.3506372151,-5.7366036773,3305.png,0.69558
3322,42.3506314726,-5.7366032361,3322.png,0.69113
3341,42.3506199491,-5.7366013624,3341.png,0.82044
3334,42.3506262471,-5.7366012309,3334.png,0.62423
3373,42.3506264486,-5.7366005902,3373.png,0.75393
3385,42.3506213314,-5.7365994289,3385.png,0.70577
3456,42.3506199436,-5.7365988646,3456.png,0.82299
3476,42.3506184319,-5.7365995015,3476.png,0.77514
3468,42.3506186208,-5.7365974126,3468.png,0.77269
3499,42.3506132951,-5.7365991855,3499.png,0.66143
3509,42.3506180459,-5.7365969704,3509.png,0.65516
3488,42.3506082156,-5.7365897954,3488.png,0.71225
3514,42.3506133263,-5.7365982757,3514.png,0.66602
3515,42.3506133885,-5.7365925119,3515.png,0.68229
3523,42.3506095721,-5.7365941082,3523.png,0.61943
3525,42.3506044277,-5.7365921689,3525.png,0.62181
3522,42.3506043114,-5.7365959280,3522.png,0.68431
3611,42.3506066413,-5.7365913476,3611.png,0.64108
3606,42.3505952062,-5.7365741769,3606.png,0.71572
3653,42.3505964811,-5.7365877097,3653.png,0.67655
3645,42.3505907141,-5.7365853942,3645.png,0.61754
3718,42.3505849561,-5.7365874946,3718.png,0.79323
3715,42.3505796735,-5.7365856983,3715.png,0.80856
3735,42.3505858906,-5.7365810408,3735.png,0.69912
3697,42.3505807530,-5.7365865751,3697.png,0.69978
3742,42.3505866710,-5.7365859577,3742.png,0.77748
3771,42.3505766664,-5.7365796295,3771.png,0.70479
3800,42.3505708233,-5.7365817205,3800.png,0.75963
3815,42.3505653307,-5.7365812189,3815.png,0.62710
3827,42.3505778843,-5.7365828561,3827.png,0.65578
3834,42.3505775784,-5.7365819244,3834.png,0.64128
3833,42.3505771268,-5.7365794549,3833.png,0.63033
3884,42.3505626438,-5.7365783306,3884.png,0.70212
3891,42.3505736821,-5.7365770388,3891.png,0.62026
3898,42.3505690852,-5.7365762253,3898.png,0.60319
3908,42.3505630961,-5.7365740832,3908.png,0.68215
3943,42.3505534985,-5.7365701339,3943.png,0.61425
3947,42.3505646225,-5.7365761703,3947.png,0.83078
3960,42.3505534777,-5.7365757115,3960.png,0.64504
3940,42.3505595003,-5.7365737373,3940.png,0.69368
4017,42.3505612497,-5.7365735743,4017.png,0.78905
4074,42.3505572001,-5.7365736579,4074.png,0.69224
4109,42.3505398388,-5.7365688096,4109.png,0.63643
4116,42.3505520938,-5.7365719225,4116.png,0.65906
4130,42.3505520004,-5.7365675294,4130.png,0.71313
4180,42.3505430086,-5.7365676215,4180.png,0.65900
4241,42.3505270881,-5.7365616190,4241.png,0.67954
4224,42.3505330880,-5.7365669534,4224.png,0.86167
4274,42.3505289286,-5.7365651758,4274.png,0.66442
4236,42.3505297320,-5.7365641112,4236.png,0.70184
4272,42.3505350330,-5.7365629467,4272.png,0.64751
4301,42.3505251831,-5.7365606558,4301.png,0.83822
4298,42.3505311275,-5.7365589988,4298.png,0.61399
4321,42.3505363971,-5.7365581115,4321.png,0.69203
4328,42.3505315733,-5.7365623526,4328.png,0.73125
4318,42.3505207802,-5.7365513547,4318.png,0.71666
4335,42.3505266512,-5.7365571697,4335.png,0.66992
4363,42.3505173422,-5.7365528701,4363.png,0.61689
4378,42.3505119482,-5.7365592393,4378.png,0.75209
4373,42.3505234034,-5.7365540441,4373.png,0.67214
4394,42.3505137752,-5.7365584402,4394.png,0.66783
4405,42.3505080627,-5.7365584653,4405.png,0.72393
4406,42.3505197727,-5.7365578662,4406.png,0.61684
4407,42.3505135999,-5.7365572599,4407.png,0.69313
4493,42.3505051958,-5.7365560706,4493.png,0.63212
4497,42.3505041369,-5.7365582231,4497.png,0.61493
4492,42.3505109538,-5.7365567854,4492.png,0.61749
4509,42.3505104025,-5.7365481791,4509.png,0.71105
4504,42.3505104921,-5.7365574759,4504.png,0.77103
4513,42.3505052529,-5.7365530664,4513.png,0.67527
4549,42.3505072327,-5.7365555862,4549.png,0.76170
4567,42.3505004287,-5.7365505496,4567.png,0.73131
4571,42.3505037378,-5.7365499309,4571.png,0.81066
4595,42.3504953718,-5.7365518465,4595.png,0.78576
4633,42.3504974371,-5.7365449235,4633.png,0.67915
4632,42.3504908171,-5.7365493918,4632.png,0.67930
4635,42.3504927357,-5.7365428394,4635.png,0.66287
4665,42.3504819370,-5.7365474968,4665.png,0.68070
4681,42.3504812632,-5.7365468417,4681.png,0.71115
4686,42.3504879468,-5.7365385275,4686.png,0.65825
4706,42.3504888722,-5.7365429328,4706.png,0.60949
4707,42.3504900822,-5.7365435051,4707.png,0.66703
4709,42.3504901990,-5.7365448052,4709.png,0.71329
4710,42.3504890078,-5.7365438413,4710.png,0.69164
4751,42.3504807889,-5.7365405322,4751.png,0.60829
4756,42.3504800090,-5.7365416896,4756.png,0.71111
4777,42.3504762762,-5.7365379977,4777.png,0.72729
4803,42.3504704607,-5.7365351662,4803.png,0.64263
4848,42.3504742811,-5.7365426746,4848.png,0.68326
4852,42.3504762177,-5.7365427412,4852.png,0.71559
4859,42.3504685652,-5.7365437004,4859.png,0.75164
4893,42.3504587890,-5.7365409522,4893.png,0.69896
4908,42.3504688923,-5.7365411767,4908.png,0.70980
4927,42.3504645962,-5.7365386054,4927.png,0.69594
4976,42.3504537996,-5.7365309596,4976.png,0.71986
4979,42.3504593537,-5.7365349467,4979.png,0.60037
5004,42.3504588561,-5.7365347404,5004.png,0.60641
5040,42.3504542794,-5.7365345256,5040.png,0.61210
5017,42.3504484396,-5.7365366264,5017.png,0.76683
5065,42.3504431292,-5.7365353684,5065.png,0.67973
5090,42.3504444600,-5.7365287443,5090.png,0.67759
5117,42.3504454011,-5.7365270230,5117.png,0.80937
5131,42.3504335985,-5.7365266963,5131.png,0.63329
5175,42.3504390781,-5.7365296364,5175.png,0.65463
5176,42.3504352833,-5.7365274105,5176.png,0.72030
5254,42.3504307714,-5.7365245188,5254.png,0.62091
5296,42.3504274353,-5.7365238536,5296.png,0.70760
5272,42.3504212185,-5.7365258388,5272.png,0.66122
5285,42.3504217529,-5.7365226473,5285.png,0.61491
5309,42.3504221636,-5.7365208553,5309.png,0.64015
5315,42.3504238424,-5.7365210103,5315.png,0.79021
5327,42.3504234576,-5.7365200139,5327.png,0.63242
5382,42.3504085679,-5.7365223366,5382.png,0.68198
5385,42.3504190699,-5.7365205339,5385.png,0.69692
5438,42.3504142547,-5.7365202481,5438.png,0.62995
5448,42.3504048436,-5.7365162246,5448.png,0.79854
5500,42.3504013955,-5.7365158726,5500.png,0.60328
5497,42.3504148097,-5.7365065670,5497.png,0.81106
5515,42.3504064109,-5.7365149254,5515.png,0.62673
5519,42.3503969807,-5.7365046089,5519.png,0.65790
5520,42.3504014136,-5.7365142128,5520.png,0.66601
5517,42.3504010469,-5.7365115076,5517.png,0.77070
5543,42.3503975026,-5.7365110031,5543.png,0.74040
5565,42.3503967948,-5.7365072983,5565.png,0.63625
5560,42.3503909292,-5.7365132796,5560.png,0.60834
5580,42.3503867482,-5.7365090242,5580.png,0.64480
5611,42.3503914221,-5.7365103184,5611.png,0.61060
5609,42.3503802719,-5.7365073738,5609.png,0.77685
5629,42.3503814312,-5.7365091709,5629.png,0.63645
5644,42.3503869877,-5.7365089239,5644.png,0.75920
5723,42.3503645465,-5.7364999687,5723.png,0.67346
5787,42.3503702669,-5.7364997315,5787.png,0.61519
5815,42.3503665238,-5.7364995200,5815.png,0.69235
5867,42.3503591862,-5.7364939491,5867.png,0.64300
5860,42.3503537699,-5.7364911914,5860.png,0.61184
5893,42.3503538031,-5.7364965578,5893.png,0.82495
5922,42.3503499562,-5.7364963279,5922.png,0.66101
5911,42.3503498265,-5.7364943222,5911.png,0.67343
5940,42.3503493915,-5.7364935718,5940.png,0.72122
5924,42.3503441114,-5.7364917997,5924.png,0.66198
5948,42.3503441806,-5.7364929599,5948.png,0.66848
5958,42.3503441120,-5.7364919881,5958.png,0.72982
5957,42.3503387345,-5.7364891550,5957.png,0.73907
5994,42.3503446921,-5.7364920922,5994.png,0.74706
5990,42.3503389147,-5.7364953555,5990.png,0.71270
6013,42.3503388385,-5.7364903047,6013.png,0.62022
6018,42.3503389866,-5.7364915471,6018.png,0.84849
6046,42.3503216765,-5.7364909358,6046.png,0.73355
6039,42.3503336783,-5.7364888864,6039.png,0.62537
6040,42.3503334589,-5.7364871321,6040.png,0.62166
6047,42.3503275569,-5.7364879754,6047.png,0.61748
6061,42.3503342273,-5.7364913534,6061.png,0.75442
6067,42.3503171285,-5.7364856134,6067.png,0.72938
6073,42.3503230713,-5.7364852932,6073.png,0.64907
6091,42.3503176389,-5.7364868256,6091.png,0.66876
6131,42.3503194119,-5.7364873754,6131.png,0.72728
6146,42.3503265712,-5.7364822638,6146.png,0.66566
6150,42.3503241560,-5.7364823514,6150.png,0.60968
6177,42.3503137517,-5.7364784748,6177.png,0.67622
6187,42.3503193477,-5.7364841613,6187.png,0.70148
6198,42.3503125703,-5.7364792267,6198.png,0.71459
6206,42.3503180590,-5.7364831120,6206.png,0.67720
6251,42.3503027220,-5.7364805669,6251.png,0.66891
6262,42.3503137542,-5.7364802344,6262.png,0.71405
6265,42.3503082225,-5.7364817029,6265.png,0.65135
6285,42.3503017982,-5.7364772897,6285.png,0.69422
6277,42.3503017692,-5.7364829328,6277.png,0.73343
6282,42.3503071395,-5.7364810998,6282.png,0.82681
6402,42.3502890931,-5.7364771598,6402.png,0.74549
6438,42.3502882017,-5.7364746190,6438.png,0.64360
6532,42.3502754376,-5.7364657959,6532.png,0.74052
6578,42.3502746921,-5.7364687691,6578.png,0.60043
6580,42.3502706951,-5.7364669691,6580.png,0.76531
6589,42.3502754230,-5.7364635725,6589.png,0.89331
6615,42.3502719434,-5.7364630166,6615.png,0.60981
6626,42.3502597403,-5.7364649803,6626.png,0.63008
6644,42.3502593902,-5.7364633792,6644.png,0.68377
6683,42.3502599957,-5.7364634169,6683.png,0.63321
6695,42.3502540109,-5.7364589487,6695.png,0.75493
6737,42.3502554182,-5.7364589174,6737.png,0.73994
6745,42.3502553611,-5.7364610447,6745.png,0.64672
6766,42.3502445142,-5.7364575489,6766.png,0.67347
6853,42.3502446066,-5.7364543587,6853.png,0.75179
6863,42.3502386634,-5.7364541636,6863.png,0.73342
6876,42.3502440184,-5.7364561395,6876.png,0.63345
6877,42.3502435612,-5.7364539151,6877.png,0.61697
6870,42.3502318821,-5.7364560735,6870.png,0.69294
6892,42.3502317815,-5.7364510343,6892.png,0.74162
6909,42.3502317188,-5.7364510004,6909.png,0.62397
6928,42.3502268317,-5.7364506722,6928.png,0.74247
6955,42.3502211275,-5.7364495252,6955.png,0.67845
6946,42.3502268607,-5.7364521258,6946.png,0.75638
6965,42.3502214046,-5.7364487965,6965.png,0.69990
7022,42.3502195051,-5.7364428589,7022.png,0.60263
7060,42.3502143627,-5.7364468492,7060.png,0.70233
7081,42.3502090193,-5.7364483429,7081.png,0.77831
7083,42.3502151983,-5.7364468298,7083.png,0.63326
7061,42.3502048515,-5.7364427865,7061.png,0.79652
7088,42.3502114205,-5.7364449544,7088.png,0.88289
7110,42.3501997897,-5.7364445191,7110.png,0.66046
7119,42.3502000786,-5.7364447166,7119.png,0.66812
7150,42.3502059878,-5.7364430853,7150.png,0.61112
7165,42.3502000112,-5.7364429629,7165.png,0.67651
7207,42.3501992952,-5.7364406707,7207.png,0.81629
7218,42.3501817618,-5.7364372122,7218.png,0.60033
7225,42.3501819451,-5.7364351198,7225.png,0.82445
7230,42.3501937914,-5.7364397557,7230.png,0.77626
7233,42.3501883391,-5.7364379717,7233.png,0.70793
7236,42.3501940939,-5.7364382323,7236.png,0.61622
7251,42.3501826469,-5.7364307275,7251.png,0.71924
7357,42.3501686181,-5.7364315786,7357.png,0.68779
7382,42.3501629272,-5.7364332061,7382.png,0.83153
7413,42.3501580437,-5.7364345076,7413.png,0.71460
7436,42.3501698368,-5.7364351098,7436.png,0.72653
7451,42.3501627417,-5.7364320820,7451.png,0.66494
7492,42.3501517670,-5.7364290707,7492.png,0.78702
7514,42.3501511548,-5.7364262938,7514.png,0.71897
7574,42.3501503124,-5.7364275077,7574.png,0.60122
7609,42.3501387313,-5.7364254721,7609.png,0.71142
7640,42.3501439537,-5.7364260302,7640.png,0.71607
7634,42.3501441802,-5.7364286124,7634.png,0.62957
7704,42.3501386349,-5.7364236981,7704.png,0.60091
7717,42.3501323104,-5.7364268414,7717.png,0.70017
7741,42.3501317033,-5.7364226262,7741.png,0.68021
7739,42.3501323265,-5.7364266309,7739.png,0.61831
7764,42.3501143238,-5.7364238823,7764.png,0.75391
7849,42.3501203186,-5.7364244859,7849.png,0.78603
7858,42.3501089189,-5.7364205925,7858.png,0.79688
7880,42.3501089534,-5.7364219645,7880.png,0.66106
7886,42.3501031199,-5.7364225986,7886.png,0.83859
7887,42.3501136156,-5.7364228031,7887.png,0.67607
7943,42.3500964647,-5.7364198208,7943.png,0.64604
7999,42.3500960488,-5.7364213448,7999.png,0.77482
8078,42.3500851292,-5.7364124744,8078.png,0.61941
8062,42.3500902925,-5.7364153797,8062.png,0.63969
8151,42.3500783061,-5.7364126769,8151.png,0.60380
8169,42.3500730811,-5.7364126427,8169.png,0.81231
8205,42.3500565374,-5.7364062311,8205.png,0.62308
